0,1,2,3,4,5,6
0.10333,0.04725,0.01562,1424.46954,2232.59423,41.77654,-0.46528
0.10333,0.0465,0.0293,873.50605,1389.39815,97.74039,0.10798
0.09546,0.04127,0.0293,929.00225,1493.59418,104.41531,0.52694
0.09546,0.03556,0.03125,920.03712,1484.72024,96.28508,1.08244
0.07358,0.02721,0.0332,909.63917,1477.53558,122.69934,1.59853
0.30664,0.08556,0.03418,1018.209,1556.84581,84.9495,0.53145
0.34982,0.15139,0.05273,2278.59731,2130.46238,3.14659,-6.77453
0.34982,0.15148,0.05469,1546.55969,1715.50927,9.4723,-8.05309
0.29898,0.12294,0.05273,1159.24598,1252.58436,13.00486,-5.26531
0.32104,0.12355,0.05957,972.50369,1142.54976,13.47602,-4.83712
0.32104,0.11121,0.0498,1140.50496,1255.65401,7.05126,-5.78348
0.23132,0.09712,0.05176,1065.73674,1226.22874,11.34586,-6.57536
0.20746,0.09029,0.04688,1176.2531,1359.15063,10.68893,-7.99871
0.19714,0.07721,0.03125,746.39184,1278.67234,243.23528,-3.68037
0.14484,0.05774,0.02539,784.2035,1361.74319,226.61186,-2.35547
0.13425,0.04527,0.02441,919.86908,1495.51891,189.61919,-3.02194
0.08585,0.03464,0.02148,863.98989,1522.73985,376.40433,-3.23464
0.07242,0.02923,0.02734,1002.19044,1664.46619,182.6833,-1.36168
0.07242,0.02552,0.03223,1055.67938,1676.12489,110.90587,-0.04446
0.06546,0.01868,0.03516,1320.79861,1925.84518,66.05457,-1.30686
0.02927,0.01292,0.04883,1613.5899,1945.92828,22.80162,-3.53008
0.02551,0.01303,0.05762,1647.52829,2028.0731,22.4475,-2.93902
0.02551,0.01177,0.03711,957.70867,1609.55358,171.26761,-1.11553
0.02304,0.00914,0.01758,973.88437,1713.08779,267.04471,-0.4767
0.07123,0.01397,0.02148,1042.67201,1792.38696,145.68677,-1.51517
0.31595,0.09732,0.06152,2483.68701,2338.01332,4.10348,-1.12568
0.37631,0.1604,0.07129,1473.37447,1941.40203,26.09646,-5.88862
0.42142,0.18434,0.04102,1506.26519,1830.15833,27.3356,-6.06192
0.42142,0.16318,0.04199,1750.67102,1904.98509,13.49907,-7.29219
0.23276,0.11702,0.06152,1794.37236,1794.45832,4.80248,-5.27055
0.16864,0.09483,0.06934,1655.98646,1699.06807,4.56768,-1.91844
0.19614,0.10211,0.05176,1564.86521,1649.64383,8.45608,-7.61922
0.19614,0.09427,0.03418,1258.51992,1604.22306,44.47451,-8.30689
0.17401,0.0686,0.03809,1171.14071,1702.06951,50.62662,-6.98996
0.12219,0.06272,0.04297,1222.22612,1664.1601,14.7887,-4.31592
0.56235,0.10616,0.04688,1245.00696,1858.75886,39.02797,-4.40288
0.56235,0.16277,0.05957,1421.56507,1836.9879,19.38523,-6.13224
0.5582,0.18205,0.07031,1636.01399,1897.4149,13.0403,-7.30322
0.36679,0.16588,0.07715,1507.89751,1901.71499,15.56829,-5.93773
0.37305,0.15474,0.05957,1661.84751,1993.48554,12.64139,-3.98744
0.37305,0.15053,0.04688,1455.94185,1904.35621,13.74137,-2.83206
0.3121,0.14487,0.05273,1335.17754,1767.76198,12.6917,-4.3521
0.33722,0.13543,0.0498,1439.43136,1876.55903,11.69533,-5.58726
0.33722,0.12366,0.05762,1468.63151,1903.45503,13.17659,-7.10216
0.32324,0.12758,0.06152,1205.35392,1481.00364,8.58605,-6.90675
0.27524,0.12318,0.06152,1396.06454,1774.89149,12.19628,-6.91708
0.27524,0.1096,0.07715,1547.03701,1698.64455,5.66474,-7.0605
0.23398,0.08893,0.06738,1509.3448,1574.8934,4.16791,-2.49274
0.13467,0.07563,0.05859,1374.22493,1628.40626,9.89955,-2.88124
0.12085,0.07458,0.05078,1329.19991,1650.19473,11.94829,-8.20164
0.13159,0.07343,0.03906,1299.92189,1624.80474,12.91737,-5.1016
